Unnamed: 0,gloss,week_of_year_sin,week_of_year_cos,days_since_last_cleaning,collector_pos_x,collector_pos_y,collector_pos_loop,irradiance,cumul_irradiance,focus,dumping,collector_temperature,wind_u_avg,wind_v_avg,wind_hours_above_thres,wind_hours_since_thres,sca_angle_wind,diff_dew_amb_avg,dew_hours_under_thres,dew_hours_since_thres,sca_angle_dew,precip_avg,precip_max,precip_hours_above_thres,precip_hours_since_thres,sca_angle_precip,precip_dry_hours,precip_hours_since_dry_period,sca_angle_dry,pm10_avg,ESTIMATED_SOILING_LOSS_PERCENT
0,91.4,0.8854560256532099,-0.4647231720437685,50.08721064814815,36,1,3,569.1803999975671,85949.7686629076,0.9546293362334398,0.0528935153124597,321.61069821829204,-1.378386686501098,0.5648988625478325,168.875,25.183055555555555,79.00532791116306,7.106825910025682,572.6611111111112,11.796944444444444,34.99640519528562,0.9180000000000004,8.8,72,188.9080555555556,70.82911087210952,288,907.9080555555556,65.5187645705674,1.948857608624621e-08,4.453102699322609
1,86.7,0.8854560256532099,-0.4647231720437685,50.08744212962964,35,1,2,569.1803999975671,85949.7686629076,0.9450253615852952,0.0812752400225396,301.67745184317863,-1.3783961090076315,0.5649104779690655,168.875,25.189444444444444,78.34428057547284,7.106830961540975,572.6611111111112,11.803333333333333,34.68831291576077,0.9180000000000004,8.8,72,188.91444444444448,70.5672572952304,288,907.9144444444444,67.64471938788958,1.948857608624621e-08,9.36634577714738
2,90.05,0.8854560256532099,-0.4647231720437685,50.08795138888889,35,2,1,569.1803999975671,85949.7686629076,0.9668506734696816,0.0195290435465552,280.42848937704593,-1.3784045533902654,0.5649207312250648,168.875,25.2025,78.4317103954204,7.106837458202532,572.6611111111112,11.81638888888889,34.69950133450487,0.9180000000000004,8.8,72,188.9275,70.85443887268003,288,907.9275,67.70509973344834,1.948857608624621e-08,5.864353370612712
3,90.5,0.8854560256532099,-0.4647231720437685,50.088229166666665,36,2,4,569.1803999975671,85949.7686629076,0.9445227118242406,0.1475878193560099,340.67865801178687,-1.3784097504404065,0.5649267767972702,168.875,25.206666666666667,78.71289466587922,7.106840652370983,572.6611111111112,11.820555555555556,34.905580827524886,0.9180000000000004,8.8,72,188.93166666666667,69.80987865005208,288,907.9316666666666,65.33728101474587,1.948857608624621e-08,5.393936480182678
4,87.85,0.8854560256532099,-0.4647231720437685,50.08940972222223,26,1,3,569.1803999975671,85949.7686629076,0.9686173586263844,0.0767949495880975,321.3006025756347,-1.378443431445245,0.5649613351909364,168.875,25.23583333333333,78.73703616335463,7.106855843574139,572.6611111111112,11.849722222222224,34.907889984364616,0.9180000000000004,8.8,72,188.9608333333333,69.29304683629236,288,907.9608333333332,65.30027619528171,1.948857608624621e-08,8.164169279381754
5,91.05,0.8854560256532099,-0.4647231720437685,50.08957175925926,25,1,2,569.1803999975671,85949.7686629076,0.955391548126408,0.1122490884230578,301.34818006175647,-1.3784465311723044,0.5649656836779444,168.875,25.240277777777777,78.53628363749931,7.106858758205105,572.6611111111112,11.854166666666666,34.737927872413174,0.9180000000000004,8.8,72,188.96527777777777,70.28656620510804,288,907.9652777777778,67.82232156844064,1.948857608624621e-08,4.81898250299042
6,89.25,0.8854560256532099,-0.4647231720437685,50.08998842592593,25,2,1,569.1803999975671,85949.7686629076,0.9584325281956216,0.0257243652789345,280.38315369190536,-1.3784668474571315,0.5649795409801411,168.875,25.25111111111111,78.37884630266176,7.106864408910457,572.6611111111112,11.865,34.6949659551744,0.9180000000000004,8.8,72,188.97611111111112,70.92618294764333,288,907.9761111111112,67.63868513154762,1.948857608624621e-08,6.7006500647105405
7,88.7,0.8854560256532099,-0.4647231720437685,50.090243055555554,26,2,4,569.1803999975671,85949.7686629076,0.9672437180929158,0.0533937026638352,340.2369285641624,-1.3784713542620457,0.5649838186884749,168.875,25.255,78.93242740781514,7.106865772398373,572.6611111111112,11.86888888888889,34.98774371328609,0.9180000000000004,8.8,72,188.98,70.93062890919667,288,907.98,65.32684655491374,1.948857608624621e-08,7.275604041902797
8,88.5,0.8854560256532099,-0.4647231720437685,50.091377314814814,18,1,3,569.1803999975671,85949.7686629076,0.9675977155055688,0.1024587432807468,320.20146458399114,-1.3784967035043134,0.5650074879772042,168.875,25.28305555555556,78.84610413015062,7.106878162295503,572.6611111111112,11.896944444444443,34.98917302825808,0.9180000000000004,8.8,72,189.0080555555556,70.21250403604772,288,908.0080555555556,65.32690510252334,1.948857608624621e-08,7.48467821542726
9,91.3,0.8854560256532099,-0.4647231720437685,50.09153935185185,17,1,2,569.1803999975671,85949.7686629076,0.9486676221088324,0.1351673395860201,300.6860566622936,-1.3785036700932851,0.5650146449276874,168.875,25.2875,78.52681340493281,7.106880426866645,572.6611111111112,11.901388888888889,34.73552561597977,0.9180000000000004,8.8,72,189.0125,70.89319908761024,288,908.0125,67.73167875901314,1.948857608624621e-08,4.557639786084847
10,92.35,0.8854560256532099,-0.4647231720437685,50.09197916666667,17,2,1,569.1803999975671,85949.7686629076,0.9501800042673098,0.0157253920678011,279.4748710789122,-1.378519884707503,0.56503165129412,168.875,25.29888888888889,78.33374517274352,7.106884730593075,572.6611111111112,11.912777777777778,34.68281005279436,0.9180000000000004,8.8,72,189.02388888888888,71.00045467341833,288,908.0238888888888,67.67291962269495,1.948857608624621e-08,3.460000375081445
11,87.95,0.8854560256532099,-0.4647231720437685,50.09234953703703,18,2,4,569.1803999975671,85949.7686629076,0.9634066816046228,0.0873652068748227,339.4760867539656,-1.3785305459638757,0.5650422112734829,168.875,25.30555555555556,78.87746198527415,7.106887764717376,572.6611111111112,11.919444444444444,34.99423324512969,0.9180000000000004,8.8,72,189.0305555555556,70.91820699265539,288,908.0305555555556,65.3311082736928,1.948857608624621e-08,8.059632192619516
12,86.65,0.8854560256532099,-0.4647231720437685,99.1248148148148,10,1,3,569.1803999975671,85949.7686629076,0.9461352500405068,0.2053957641504511,322.86615710638534,0.094329370847639,-0.0944902801654005,333.94166666666666,25.33305555555556,74.23936621355068,5.865212689464456,1327.9722222222222,11.946944444444444,37.68670250237114,0.8505050505050504,8.8,144,189.0580555555556,70.73988380780887,552,908.0580555555556,52.93776757124412,1.5668906172550123e-08,9.41861432052849
13,91.9,0.8854560256532099,-0.4647231720437685,99.125,9,1,2,569.1803999975671,85949.7686629076,0.9489350745146168,0.1573343867691345,301.7700821977508,0.094322705148183,-0.0944865661281687,333.94166666666666,25.33833333333333,74.039964304788,5.865216382620609,1327.9722222222222,11.952222222222222,38.24457108826002,0.8505050505050504,8.8,144,189.06333333333333,70.87863798773878,552,908.0633333333334,52.86417621010092,1.5668906172550123e-08,3.930417265511464
14,92.25,0.8854560256532099,-0.4647231720437685,99.12542824074076,9,2,1,569.1803999975671,85949.7686629076,0.969762543398444,0.0550086811104363,279.94810609354863,0.0943105989534395,-0.094476904791409,333.94166666666666,25.349166666666665,73.98083256420061,5.865223679360231,1327.9722222222222,11.963055555555556,38.200107714941005,0.8505050505050504,8.8,144,189.07416666666663,69.8056810324066,552,908.0741666666668,52.851872100592814,1.5668906172550123e-08,3.5645374618436683
15,88.95,0.8854560256532099,-0.4647231720437685,99.1257175925926,10,2,4,569.1803999975671,85949.7686629076,0.9557314160141424,0.266593592422946,342.0954338929121,0.0943052525576748,-0.0944724585665363,333.94166666666666,25.35388888888889,74.20711438168469,5.865227242970336,1327.9722222222222,11.967777777777778,37.62988955842162,0.8505050505050504,8.8,144,189.07888888888888,70.73498228603098,552,908.0788888888889,52.87572766494138,1.5668906172550123e-08,7.014261324997226
16,90.05000000000001,0.8854560256532099,-0.4647231720437685,99.12672453703703,4,1,3,569.1803999975671,85949.7686629076,0.9025586006689358,0.0888179048394496,318.4900166243009,0.0942759200607859,-0.0944526039787196,333.94166666666666,25.378888888888888,74.22664817704052,5.865242662988397,1327.9722222222222,11.992777777777778,37.65276454144065,0.8505050505050504,8.8,144,189.1038888888889,70.86327453973516,552,908.1038888888888,52.94146734335927,1.5668906172550123e-08,5.864353370612696
17,92.6,0.8854560256532099,-0.4647231720437685,99.12692129629627,3,1,2,569.1803999975671,85949.7686629076,0.9178648811580918,0.1062960091769377,298.69410759212104,0.094269824126379,-0.0944482672587442,333.94166666666666,25.384166666666665,74.01072877445331,5.865245969101717,1327.9722222222222,11.998055555555556,38.19818754373118,0.8505050505050504,8.8,144,189.10916666666665,70.82240383526529,552,908.1091666666666,52.77709370177578,1.5668906172550123e-08,3.1986576581758728
18,92.2,0.8854560256532099,-0.4647231720437685,99.12741898148148,3,2,1,569.1803999975671,85949.7686629076,0.928741343969384,0.0259979388854416,277.7319423283214,0.0942573999703472,-0.0944391889932359,333.94166666666666,25.396944444444443,74.06380408859334,5.8652524873906,1327.9722222222222,12.010833333333334,38.26772583542406,0.8505050505050504,8.8,144,189.12194444444444,70.95852289949215,552,908.1219444444444,52.909132020943225,1.5668906172550123e-08,3.6168060052247797
19,84.2,0.8854560256532099,-0.4647231720437685,99.12769675925924,4,2,4,569.1803999975671,85949.7686629076,0.9376731063211196,0.071429208346677,336.45988918394266,0.0942526791317649,-0.0944345619340224,333.94166666666666,25.40138888888889,74.16749061942616,5.865255712415912,1327.9722222222222,12.015277777777778,37.66398063600781,0.8505050505050504,8.8,144,189.1263888888889,70.8671135043204,552,908.1263888888888,52.88188531231874,1.5668906172550123e-08,11.979772946203108
